Cluster,Hybrid
46,P1000:P2030
46,P1001:P2030
18,P1002:P1158
46,P1002:P2030
73,P1003:P1803
52,P1004:P2691
18,P1005:P1686
18,P1005:P1687
59,P1005:P1716
54,P1006:P1389
54,P1006:P1396
52,P1006:P1413
54,P1006:P1537
54,P1006:P1542
54,P1006:P1567
54,P1006:P1572
54,P1006:P1576
54,P1006:P1581
54,P1006:P1583
54,P1006:P1594
54,P1006:P1601
54,P1006:P1631
54,P1006:P1677
54,P1006:P1687
54,P1006:P1711
54,P1006:P1716
54,P1006:P1731
54,P1006:P1733
54,P1006:P1746
14,P1007:P1138
14,P1007:P1379
14,P1007:P1383
5,P1007:P1384
14,P1007:P1391
14,P1007:P1397
14,P1007:P1408
14,P1007:P1409
5,P1007:P1412
14,P1007:P1519
5,P1007:P1527
5,P1007:P1535
5,P1007:P1537
5,P1007:P1543
14,P1007:P1551
14,P1007:P1558
5,P1007:P1590
14,P1007:P1632
14,P1007:P1633
14,P1007:P1675
14,P1007:P1676
14,P1007:P1677
14,P1007:P1679
23,P1007:P1686
23,P1007:P1687
14,P1007:P1688
14,P1007:P1693
52,P1007:P1696
52,P1007:P1698
52,P1007:P1699
14,P1007:P1700
14,P1007:P1701
14,P1007:P1702
14,P1007:P1707
5,P1007:P1716
52,P1007:P1721
14,P1007:P1722
14,P1007:P1723
14,P1007:P1726
14,P1007:P1729
14,P1007:P1775
14,P1007:P1784
52,P1007:P1913
14,P1007:P1915
52,P1007:P2003
52,P1007:P2005
14,P1007:P2693
23,P1008:P1688
5,P1008:P1716
5,P1009:P1710
5,P1009:P1711
12,P1010:P1678
23,P1010:P1687
5,P1010:P1716
68,P1010:P1720
70,P1010:P1753
18,P1011:P1483
18,P1011:P1709
12,P1012:P1600
16,P1012:P1716
68,P1013:P1379
16,P1013:P1390
16,P1013:P1411
68,P1013:P1493
68,P1013:P1495
12,P1013:P1515
16,P1013:P1517
12,P1013:P1520
12,P1013:P1529
16,P1013:P1538
12,P1013:P1542
16,P1013:P1546
16,P1013:P1553
12,P1013:P1589
52,P1013:P1626
16,P1013:P1629
12,P1013:P1678
16,P1013:P1692
16,P1013:P1695
16,P1013:P1716
12,P1013:P1722
16,P1013:P1732
16,P1013:P1745
16,P1013:P1748
68,P1013:P1835
16,P1013:P1930
32,P1014:P1171
5,P1015:P1395
32,P1016:P1171
33,P1016:P2308
33,P1016:P2660
45,P1017:P1978
12,P1025:P1722
68,P1026:P1174
68,P1026:P1176
12,P1026:P1515
16,P1026:P1535
16,P1026:P1539
12,P1026:P1545
16,P1026:P1547
12,P1026:P1549
16,P1026:P1562
12,P1026:P1563
16,P1026:P1566
16,P1026:P1567
68,P1026:P1581
16,P1026:P1598
12,P1026:P1600
12,P1026:P1603
16,P1026:P1607
12,P1026:P1608
12,P1026:P1609
68,P1026:P1611
16,P1026:P1629
12,P1026:P1679
12,P1026:P1686
12,P1026:P1715
16,P1026:P1716
68,P1026:P1723
12,P1026:P1729
68,P1026:P1765
68,P1026:P1774
68,P1026:P1788
12,P1026:P1796
68,P1026:P1801
16,P1026:P1928
16,P1026:P1930
68,P1026:P1939
16,P1026:P1941
12,P1026:P1973
12,P1026:P2664
16,P1027:P1540
16,P1027:P1567
52,P1027:P1571
12,P1027:P1586
16,P1027:P1629
12,P1027:P1678
16,P1027:P1716
52,P1028:P1534
68,P1028:P1538
68,P1028:P1627
12,P1028:P1686
68,P1029:P1525
12,P1029:P1536
12,P1029:P1677
16,P1029:P1716
68,P1029:P1750
64,P1030:P1722
61,P1031:P1384
61,P1031:P1395
61,P1031:P1483
61,P1031:P1490
61,P1031:P1493
47,P1031:P1499
61,P1031:P1516
61,P1031:P1527
61,P1031:P1530
61,P1031:P1531
61,P1031:P1578
61,P1031:P1595
61,P1031:P1599
61,P1031:P1605
61,P1031:P1610
61,P1031:P1616
61,P1031:P1619
61,P1031:P1624
61,P1031:P1703
61,P1031:P1704
61,P1031:P1715
61,P1031:P1719
61,P1031:P1741
61,P1031:P1771
61,P1031:P1805
61,P1031:P1922
61,P1031:P1937
64,P1032:P1722
16,P1033:P1929
16,P1034:P1382
12,P1034:P1687
12,P1035:P1676
39,P1036:P1537
59,P1036:P1625
59,P1036:P1629
59,P1036:P1716
59,P1036:P1717
36,P1036:P1927
36,P1036:P2223
32,P1037:P1171
61,P1037:P1676
64,P1038:P1722
65,P1039:P1142
65,P1039:P1544
65,P1039:P1577
65,P1039:P1580
65,P1039:P1614
65,P1039:P1624
65,P1039:P1680
65,P1039:P1717
65,P1039:P1724
65,P1039:P1725
65,P1039:P1729
65,P1039:P1731
65,P1039:P1734
65,P1039:P1761
65,P1039:P1801
65,P1039:P1920
65,P1039:P1921
52,P1040:P1483
47,P1041:P1499
53,P1041:P1595
53,P1041:P1613
53,P1041:P1617
53,P1041:P1620
53,P1041:P1686
53,P1041:P1718
53,P1041:P1733
53,P1041:P1737
53,P1041:P1744
42,P1041:P1778
42,P1041:P1779
32,P1042:P1171
47,P1042:P1499
65,P1042:P1554
1,P1042:P1592
64,P1042:P1722
1,P1042:P1796
68,P1043:P1803
32,P1044:P1171
16,P1044:P1716
16,P1044:P1746
42,P1044:P1826
12,P1045:P1676
68,P1045:P1743
26,P1046:P1069
26,P1046:P1136
26,P1046:P1138
22,P1046:P1142
8,P1046:P1162
26,P1046:P1512
26,P1046:P1624
26,P1046:P1794
26,P1046:P1797
26,P1046:P1806
8,P1046:P1819
26,P1046:P1918
26,P1046:P1936
26,P1046:P1952
